Parent Genre,Genre / Subgenre,Level,BPM Min,BPM Max,Typical BPM,Common Keys,Camelot,Drum Feel,DJ Set Placement,Energy (1-10),Mixes Well With,Transition Tip,Sound Colour FX,Beat FX,Transition Loop (bars),Beat FX Setting (beat),Beat FX Depth (%),Mix-In / Mix-Out,Vocal Density / Layerability,Double-Drop / Mashup,Blend Length (bars),Intro (bars),Intro Feel,Build (bars),Build Feel,Drop/Main (bars),Drop/Main Feel,Breakdown (bars),Breakdown Feel,Outro (bars),Outro Feel,Typical Length,Phrasing,Track Structure,Origin,Era,Sound Signature,Sound Design / Instrumentation,Drum Programming,Harmony Approach,Production Techniques,Scale / Mode,Chord Progression,Essential Synths / Plugins,Mix / Master Targets,Representative Artists,Landmark Track,Key Labels,Peak / Momentum (yrs),Fuses Into / Related,Notes,Top Track 1,Top Track 2,Top Track 3,Top Track 4,Top Track 5
Electronica,Nu Wave,Subgenre,110,130,110-130,Varies / modal,-,,,4,"Downtempo, Ambient, Indie Dance",Long blend / not always beatmatched,"Filter + Space + Dub Echo - textural, experimental","Reverb, Echo & Ping-Pong for washes",8-16 bars or free,Reverb; Echo 1/1-2/1; Ping-Pong,30-60% washes,"In/Out: free - blend on texture, not always beatmatched",Med - varies widely,Low - not drop-based,free / 16+ bars,-,Mood-setting intro,-,Section shift / lift,-,"Main theme - textured, listening energy",-,Contrast section / dip,-,Resolving outro,3-6 min,verse/section,Song/album-oriented; verse-chorus or evolving structure; not always DJ-arranged.,,,Modern synth-driven new-wave/electro-pop revival sound,"Experimental synths, glitch textures, heavy sampling","Complex programmed/glitched breaks, unusual meters","Adventurous - modal, atonal or lush","Sound-design experimentation, glitch/granular, intricate programming",Modal / varied,"Adventurous, evolving","Any - experimental; Serum, samplers",Dynamic master ~-10 to -14 LUFS; preserve detail,,,,,"Synthwave, Electronica",BPM Supreme,,,,,
Funky House,Funky House,Genre,120,126,120-126,Major & minor (G/C maj),"9B, 8B, 8A",Four-on-the-floor,Peak,6,"House, Nu Disco, Jackin House","Filter blend, EQ trade",Filter + Sweep - funky filter rides,Echo & Roll; Reverb for a quick wash,4-8 bars,Echo 1/1; Roll 1/4,30-50%,In: intro. Out: breakdown / outro,Med - vocal cuts,Low - filter/groove blend,16-32 bars,16-32,"Functional beat/perc tool - steady, made to mix in",16,"Tension rising - added perc, filter sweep, anticipation",32,"Full groove locked - peak drive, hypnotic, floor engaged",16-32,"Stripped & suspended - bass out, atmosphere/tension holds",16-32,Winding down - elements strip back for the next mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,UK/USA,late 1990s,"Disco/filter loops, bouncy vocal cuts","Filtered disco loops, funky bass, vocal cuts, organ stabs","Bouncy 4/4, disco hats, tambourine, groove","Funky major/minor 7ths, loop-based","Filter automation, disco sampling, sidechain, bounce",Major & minor 7ths,ii7-V7 funky filtered loops,"Disco samples, funky bass; Serum",Master ~-8 LUFS; bouncy; mono bass,"Jamie Jones, Purple Disco Machine",,Toolroom,1997-2002; 2018-present,"Nu Disco, Jackin House",1001 'Funky/Groove House',Music Sounds Better with You - Stardust (1998),Lady (Hear Me Tonight) - Modjo (2000),Groovejet (If This Ain't Love) - Spiller (2000),Call On Me - Eric Prydz (2004),You See the Trouble with Me - Black Legend (2000)
Hard Dance / Hardcore / Neo Rave,Hard Dance / Hardcore / Neo Rave,Genre,150,200,150-200,Minor (F/G min),"4A, 6A",Four-on-the-floor / gabber,Peak/Festival,9,"Hardcore, Raw Techno, Neo Rave",Cut on the kick; mix out via breakdown,Crush + Noise + Filter - aggressive colour & risers,"Roll on the kick, Reverb slams, Spiral for tension",4 bars; 1-bar roll,Roll 1/8-1/16; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown / kick,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> kick drop -> melodic breakdown -> second drop -> outro. Reverse-bass/distorted kick.,Netherlands/Europe,1990s,"Distorted kicks, fast tempos, rave energy","Distorted reverse-bass kick, screech leads, hoovers",Pounding 4/4 distorted kick with reverse-bass on offbeats,"Euphoric or dark minor melodies, screech-lead hooks","Kick design (pitched tail/distortion), heavy distortion, gated leads",Natural minor,i-VI-III-VII euphoric / atonal raw,"Kick design (distortion+pitch), screech; Serum, Sylenth1",Loud master ~-6 LUFS; kick is the mix; mono lows,"Headhunterz, Angerfist",,"Q-dance, Scantraxx",1994-99; resurgence 2021-present,"Hardstyle, Uptempo",,Dragonborn - Headhunterz (2009),Project One - Headhunterz & Wildstylez (2008),The Contortionist - Sub Zero Project (2019),Year of Summer - Wildstylez (2013),Raise & Revolt - Angerfist (2013)
Hard Dance / Hardcore / Neo Rave,Hardstyle,Subgenre,150,160,150-160,Minor (F/G min),"4A, 6A",Four-on-the-floor,Festival,9,"Hardcore, Rawstyle, Raw Techno",Cut on the kick; breakdown to mix out,"Crush + Noise + Filter - noise risers, crush on the kick",Roll on the reverse-bass kick; Reverb slams,4 bars; 1-bar roll,Roll 1/8 on the kick; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> reverse-bass kick drop -> euphoric/raw melodic breakdown -> second drop -> outro.,Netherlands,early 2000s,"Reverse-bass kick, euphoric or raw leads","Distorted reverse-bass kick, screeches, euphoric/raw leads",Reverse-bass kick pattern (kick then pitched bass tail on offbeat),"Euphoric or dark minor melodies, big lead hooks","Kick sound-design (distortion + pitched tail), screech synths, gating",Natural minor,i-VI-III-VII euphoric or raw minor,"Kick design (distortion/pitch), screech leads; Serum, Sylenth1",Loud master ~-6 LUFS; kick IS the mix; mono lows,"Headhunterz, Sub Zero Project",,Scantraxx,2004-present,"Rawstyle, Hard Dance",,Dragonborn - Headhunterz (2009),Imaginary - Brennan Heart (2009),Project One - Headhunterz & Wildstylez (2008),The Contortionist - Sub Zero Project (2019),Year of Summer - Wildstylez (2013)
Hard Dance / Hardcore / Neo Rave,Hard House,Subgenre,145,160,145-160,Minor (F/G min),"4A, 6A",,,9,"Hardcore, Raw Techno, Neo Rave",Cut on the kick; mix out via breakdown,Crush + Noise + Filter - aggressive colour & risers,"Roll on the kick, Reverb slams, Spiral for tension",4 bars; 1-bar roll,Roll 1/8-1/16; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown / kick,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> kick drop -> melodic breakdown -> second drop -> outro. Reverse-bass/distorted kick.,,,"Fast, pumping house (~150) with hard offbeat bass and stabs","Distorted reverse-bass kick, screech leads, hoovers",Pounding 4/4 distorted kick with reverse-bass on offbeats,"Euphoric or dark minor melodies, screech-lead hooks","Kick design (pitched tail/distortion), heavy distortion, gated leads",Natural minor,i-VI-III-VII euphoric / atonal raw,"Kick design (distortion+pitch), screech; Serum, Sylenth1",Loud master ~-6 LUFS; kick is the mix; mono lows,,,,,"Hard Dance, Hardstyle",,,,,,
Hard Dance / Hardcore / Neo Rave,Uptempo,Subgenre,180,200,180-200,Minor (F/G min),"4A, 6A",,,9,"Hardcore, Raw Techno, Neo Rave",Cut on the kick; mix out via breakdown,Crush + Noise + Filter - aggressive colour & risers,"Roll on the kick, Reverb slams, Spiral for tension",4 bars; 1-bar roll,Roll 1/8-1/16; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown / kick,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> kick drop -> melodic breakdown -> second drop -> outro. Reverse-bass/distorted kick.,,,"Extreme hardcore at 180-200+ - distorted kicks, relentless","Distorted reverse-bass kick, screech leads, hoovers",Pounding 4/4 distorted kick with reverse-bass on offbeats,"Euphoric or dark minor melodies, screech-lead hooks","Kick design (pitched tail/distortion), heavy distortion, gated leads",Natural minor,i-VI-III-VII euphoric / atonal raw,"Kick design (distortion+pitch), screech; Serum, Sylenth1",Loud master ~-6 LUFS; kick is the mix; mono lows,"Dr. Peacock, N-Vitral",,,,"Hardcore, Frenchcore",,,,,,
Hard Dance / Hardcore / Neo Rave,Terror,Subgenre,200,,200+,Minor (F/G min),"4A, 6A",,,9,"Hardcore, Raw Techno, Neo Rave",Cut on the kick; mix out via breakdown,Crush + Noise + Filter - aggressive colour & risers,"Roll on the kick, Reverb slams, Spiral for tension",4 bars; 1-bar roll,Roll 1/8-1/16; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown / kick,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> kick drop -> melodic breakdown -> second drop -> outro. Reverse-bass/distorted kick.,,,"The fastest, harshest hardcore (200+) - pure sonic aggression","Distorted reverse-bass kick, screech leads, hoovers",Pounding 4/4 distorted kick with reverse-bass on offbeats,"Euphoric or dark minor melodies, screech-lead hooks","Kick design (pitched tail/distortion), heavy distortion, gated leads",Natural minor,i-VI-III-VII euphoric / atonal raw,"Kick design (distortion+pitch), screech; Serum, Sylenth1",Loud master ~-6 LUFS; kick is the mix; mono lows,,,,,"Hardcore, Uptempo",,,,,,
Hard Dance / Hardcore / Neo Rave,UK / Happy Hardcore,Subgenre,165,180,165-180,Minor (F/G min),"4A, 6A",,,9,"Hardcore, Raw Techno, Neo Rave",Cut on the kick; mix out via breakdown,Crush + Noise + Filter - aggressive colour & risers,"Roll on the kick, Reverb slams, Spiral for tension",4 bars; 1-bar roll,Roll 1/8-1/16; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown / kick,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> kick drop -> melodic breakdown -> second drop -> outro. Reverse-bass/distorted kick.,,,"Euphoric 170 rave - piano stabs, pitched vocals, breakbeats","Distorted reverse-bass kick, screech leads, hoovers",Pounding 4/4 distorted kick with reverse-bass on offbeats,"Euphoric or dark minor melodies, screech-lead hooks","Kick design (pitched tail/distortion), heavy distortion, gated leads",Natural minor,i-VI-III-VII euphoric / atonal raw,"Kick design (distortion+pitch), screech; Serum, Sylenth1",Loud master ~-6 LUFS; kick is the mix; mono lows,"Scott Brown, Gammer",,,,Hardcore,,,,,,
Hard Dance / Hardcore / Neo Rave,Frenchcore,Subgenre,190,210,190-210,Minor (F/G min),"4A, 6A",Four-on-the-floor,Peak,9,"Hardcore, Raw Techno, Neo Rave",Cut on the kick; mix out via breakdown,Crush + Noise + Filter - aggressive colour & risers,"Roll on the kick, Reverb slams, Spiral for tension",4 bars; 1-bar roll,Roll 1/8-1/16; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown / kick,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> kick drop -> melodic breakdown -> second drop -> outro. Reverse-bass/distorted kick.,France,1990s,190+ BPM rolling distorted kick,"Distorted reverse-bass kick, screech leads, hoovers",Pounding 4/4 distorted kick with reverse-bass on offbeats,"Euphoric or dark minor melodies, screech-lead hooks","Kick design (pitched tail/distortion), heavy distortion, gated leads",Natural minor,i-VI-III-VII euphoric / atonal raw,"Kick design (distortion+pitch), screech; Serum, Sylenth1",Loud master ~-6 LUFS; kick is the mix; mono lows,Dr. Peacock,,,surging 2020-present,"Uptempo, Hardcore",,,,,,
Hard Dance / Hardcore / Neo Rave,Neo Rave,Subgenre,135,150,135-150,Minor (F/G min),"4A, 6A",,,9,"Hardcore, Raw Techno, Neo Rave",Cut on the kick; mix out via breakdown,Crush + Noise + Filter - aggressive colour & risers,"Roll on the kick, Reverb slams, Spiral for tension",4 bars; 1-bar roll,Roll 1/8-1/16; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown / kick,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> kick drop -> melodic breakdown -> second drop -> outro. Reverse-bass/distorted kick.,,,Modern rave revival - hoover synths and 90s energy at hard-techno tempo,"Distorted reverse-bass kick, screech leads, hoovers",Pounding 4/4 distorted kick with reverse-bass on offbeats,"Euphoric or dark minor melodies, screech-lead hooks","Kick design (pitched tail/distortion), heavy distortion, gated leads",Natural minor,i-VI-III-VII euphoric / atonal raw,"Kick design (distortion+pitch), screech; Serum, Sylenth1",Loud master ~-6 LUFS; kick is the mix; mono lows,,,,,"Hard Techno, Hardcore",,,,,,
Hard Dance / Hardcore / Neo Rave,Gabber,Subgenre,150,190,150-190,Minor (F/G min),"4A, 6A",Four-on-the-floor,Peak,9,"Hardcore, Raw Techno, Neo Rave",Cut on the kick; mix out via breakdown,Crush + Noise + Filter - aggressive colour & risers,"Roll on the kick, Reverb slams, Spiral for tension",4 bars; 1-bar roll,Roll 1/8-1/16; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown / kick,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> kick drop -> melodic breakdown -> second drop -> outro. Reverse-bass/distorted kick.,"Rotterdam, NL",1990s,"Extreme distorted kicks, 150-190 BPM","Distorted reverse-bass kick, screech leads, hoovers",Pounding 4/4 distorted kick with reverse-bass on offbeats,"Euphoric or dark minor melodies, screech-lead hooks","Kick design (pitched tail/distortion), heavy distortion, gated leads",Natural minor,i-VI-III-VII euphoric / atonal raw,"Kick design (distortion+pitch), screech; Serum, Sylenth1",Loud master ~-6 LUFS; kick is the mix; mono lows,"Angerfist, Rotterdam Terror Corps",,,1992-97 (niche),"Hardcore, Uptempo",,,,,,
Hard Dance / Hardcore / Neo Rave,Rawstyle,Subgenre,150,160,150-160,Minor (F/G min),"4A, 6A",,,9,"Hardcore, Raw Techno, Neo Rave",Cut on the kick; mix out via breakdown,Crush + Noise + Filter - aggressive colour & risers,"Roll on the kick, Reverb slams, Spiral for tension",4 bars; 1-bar roll,Roll 1/8-1/16; Reverb,60-100%,In: 16-bar intro. Out: on the breakdown / kick,"Med - vocal builds, instrumental drops",Med-High - kick drops align,8-16 bars,16,Dark rhythmic set-up,16,Aggressive tension riser,32,Pounding reverse-bass/kick - raw or euphoric rave peak,16,Euphoric or dark melodic breather,16,Kick tail for mix,4-5 min,8/16-bar,Intro -> build -> kick drop -> melodic breakdown -> second drop -> outro. Reverse-bass/distorted kick.,,,"Rawer, darker hardstyle - distorted kicks and grim, aggressive tone","Distorted reverse-bass kick, screech leads, hoovers",Pounding 4/4 distorted kick with reverse-bass on offbeats,"Euphoric or dark minor melodies, screech-lead hooks","Kick design (pitched tail/distortion), heavy distortion, gated leads",Natural minor,i-VI-III-VII euphoric / atonal raw,"Kick design (distortion+pitch), screech; Serum, Sylenth1",Loud master ~-6 LUFS; kick is the mix; mono lows,Radical Redemption,,,,Hardstyle,,,,,,
Hard Techno,Hard Techno,Genre,145,160,145-160,"Minor, distorted/atonal","6A, 8A",Four-on-the-floor,Peak,9,"Techno, Neo Rave, Hardcore",Cut on the kick or fast loop blend,"Crush + Noise + Filter - crush for aggression, noise for risers",Roll & Spiral for tension; Reverb to slam transitions,4-8 bars; 1-bar roll,Roll 1/8-1/16; Spiral 1/1,"50-100%, aggressive",In: 16-bar intro. Out: on the kick / short outro,"Low - instrumental, safe to layer",Med - kick drops can align,16-32 bars,16,"Hard kick tool - aggressive, fast in",16,Screaming riser tension,32,Pounding relentless assault - raw peak energy,16,"Kick out, distorted tension holds",16,Hard roll-out for mix,5-7 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,Europe,1990s,"Fast, distorted kicks, aggressive rave energy","Distorted/overdriven kick, hoover & rave stabs, screech leads","Pounding fast 4/4 kick, driving offbeat hats, minimal claps","Dark minor or atonal, rave-stab hooks","Kick tail design, heavy distortion, gated stabs, loud aggressive mix",Natural minor / atonal,Atonal rave stabs / one-note,"Distorted 909, Diva, screech; Serum",Loud master ~-6 LUFS; heavy distortion glue; mono lows,"Sara Landry, 999999999",Sara Landry - The Bells,"HEX, Nico Moreno",surging 2021-present,"Uptempo, Neo Rave",,Doppler - Charlotte de Witte (2019),Daydream - I Hate Models (2017),Bloodmoney - Perc (2014),The Bells - Sara Landry (2023),Hypnotized - Adam Beyer
House,House,Genre,120,128,120-128,Minor lean (A/F/G/C min),"8A, 4A, 6A, 5A",Four-on-the-floor,Warmup/Peak,5,"Tech House, Deep House, Nu Disco, Disco House","Long 16-32 bar EQ blend, bass swap on the phrase","Filter + Sweep - filter for long blends, sweep to lift into the drop",Echo & Roll for transitions; Reverb tail to mix out,4-8 bars to blend; 1-bar to hold the groove,Echo 1/1; Roll 1/4 to lift,30-50% tails; 70%+ into the drop,In: over the 16-32 bar beat intro. Out: from the breakdown / 16-32 bar outro,Medium - some vocal cuts; check before layering,"Low - groove blend, not drops",16-32 bars,16-32,"Functional beat/perc tool - steady, made to mix in",16,"Tension rising - added perc, filter sweep, anticipation",32,"Full groove locked - peak drive, hypnotic, floor engaged",16-32,"Stripped & suspended - bass out, atmosphere/tension holds",16-32,Winding down - elements strip back for the next mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,"Chicago, USA",early 1980s,"Steady 4/4 kick, soulful/disco samples, off-beat hats","Rhodes/piano chords, warm analog bass, disco & soul samples, 909 kit","909 four-on-floor kick, offbeat open hats, claps on 2&4, light swing","Soulful 7th/9th & maj7 voicings, gospel/jazz feel, often minor","Sample chopping, filter sweeps, light sidechain, vinyl/tape warmth","Minor / Dorian, blues & pentatonic inflections",ii7-V7 soulful vamps / i-iv-v,"Rhodes e-piano, Juno pads, disco stabs; Diva, Serum",Master ~-7 to -9 LUFS (club); sub in mono <120Hz; sidechain bass to kick,"Frankie Knuckles, MK, Marshall Jefferson",Marshall Jefferson - Move Your Body,"Defected, Toolroom",1984-present (perennial),Tech/Deep/Progressive House,,Move Your Body - Marshall Jefferson (1986),Your Love - Frankie Knuckles & Jamie Principle (1987),Can You Feel It - Mr Fingers (1986),Music Sounds Better with You - Stardust (1998),Show Me Love - Robin S (1993)
